Number of Cases,Street Address,Cluster Number,Recent Cases in Cluster,Total Cases in Cluster,Date,Month Number
1,jurong west street 61(blk 646),18,11,73,01/09/2022,9
2,jurong west street 61(blk 647),18,11,73,01/09/2022,9
1,jurong west street 61(blk 648a),18,11,73,01/09/2022,9
4,jurong west street 61(blk 648b),18,11,73,01/09/2022,9
1,jurong west street 61(blk 648c),18,11,73,01/09/2022,9
2,jurong west street 61(blk 648d),18,11,73,01/09/2022,9
1,jurong west street 61(blk 649a),18,11,73,01/09/2022,9
2,jurong west street 61(blk 649b),18,11,73,01/09/2022,9
1,jurong west street 61(blk 650a),18,11,73,01/09/2022,9
1,jurong west street 61(blk 650c),18,11,73,01/09/2022,9
1,jurong west street 65(blk 617),18,11,73,01/09/2022,9
2,jurong west street 65(blk 618),18,11,73,01/09/2022,9
2,jurong west street 65(blk 619),18,11,73,01/09/2022,9
1,jurong west street 65(blk 620),18,11,73,01/09/2022,9
2,jurong west street 65(blk 621),18,11,73,01/09/2022,9
1,jurong west street 65(blk 626),18,11,73,01/09/2022,9
1,jurong west street 65(blk 627),18,11,73,01/09/2022,9
8,jurong west street 65(blk 628),18,11,73,01/09/2022,9
5,jurong west street 65(blk 629),18,11,73,01/09/2022,9
1,jurong west street 65(blk 630),18,11,73,01/09/2022,9
2,jurong west street 65(blk 631),18,11,73,01/09/2022,9
1,jurong west street 65(blk 632),18,11,73,01/09/2022,9
2,jurong west street 65(blk 633),18,11,73,01/09/2022,9
3,jurong west street 65(blk 634),18,11,73,01/09/2022,9
1,jurong west street 65(blk 635),18,11,73,01/09/2022,9
2,jurong west street 65(blk 636),18,11,73,01/09/2022,9
6,clementi west street 2(blk 715),19,5,70,01/09/2022,9
6,clementi west street 2(blk 716),19,5,70,01/09/2022,9
9,clementi west street 2(blk 717),19,5,70,01/09/2022,9
3,clementi west street 2(blk 722),19,5,70,01/09/2022,9
10,clementi west street 2(blk 723),19,5,70,01/09/2022,9
12,clementi west street 2(blk 724),19,5,70,01/09/2022,9
1,clementi west street 2(blk 727),19,5,70,01/09/2022,9
2,clementi west street 2(blk 728),19,5,70,01/09/2022,9
9,clementi west street 2(blk 729),19,5,70,01/09/2022,9
4,clementi west street 2(blk 730),19,5,70,01/09/2022,9
8,clementi west street 2(blk 731),19,5,70,01/09/2022,9
6,ang mo kio avenue 2,20,7,68,01/09/2022,9
6,ang mo kio avenue 2(the panorama),20,7,68,01/09/2022,9
2,ang mo kio avenue 4(blk 109),20,7,68,01/09/2022,9
2,ang mo kio avenue 4(blk 110),20,7,68,01/09/2022,9
4,ang mo kio avenue 4(blk 112),20,7,68,01/09/2022,9
5,ang mo kio avenue 4(blk 113),20,7,68,01/09/2022,9
3,ang mo kio avenue 4(blk 115),20,7,68,01/09/2022,9
3,ang mo kio avenue 4(blk 118),20,7,68,01/09/2022,9
3,ang mo kio avenue 4(blk 171),20,7,68,01/09/2022,9
1,ang mo kio avenue 4(blk 254),20,7,68,01/09/2022,9
3,ang mo kio avenue 4(blk 255),20,7,68,01/09/2022,9
7,ang mo kio avenue 4(blk 256),20,7,68,01/09/2022,9
1,ang mo kio avenue 4(blk 257),20,7,68,01/09/2022,9
1,ang mo kio avenue 4(blk 258),20,7,68,01/09/2022,9
4,ang mo kio street 21(blk 253),20,7,68,01/09/2022,9
2,ang mo kio street 21(blk 260b),20,7,68,01/09/2022,9
13,ellington square,20,7,68,01/09/2022,9
1,shangri-la close,20,7,68,01/09/2022,9
1,thomson hill,20,7,68,01/09/2022,9
2,corporation road(parc vista),21,4,67,01/09/2022,9
1,jurong west avenue 1(blk 530a),21,4,67,01/09/2022,9
2,jurong west street 52(blk 510),21,4,67,01/09/2022,9
1,jurong west street 52(blk 511),21,4,67,01/09/2022,9
1,jurong west street 52(blk 513),21,4,67,01/09/2022,9
5,jurong west street 52(blk 515),21,4,67,01/09/2022,9
1,jurong west street 52(blk 516),21,4,67,01/09/2022,9
3,jurong west street 52(blk 517),21,4,67,01/09/2022,9
9,jurong west street 52(blk 518),21,4,67,01/09/2022,9
10,jurong west street 52(blk 520),21,4,67,01/09/2022,9
1,jurong west street 52(blk 521),21,4,67,01/09/2022,9
1,jurong west street 52(blk 522),21,4,67,01/09/2022,9
4,jurong west street 52(blk 523),21,4,67,01/09/2022,9
6,jurong west street 52(blk 524),21,4,67,01/09/2022,9
7,jurong west street 52(blk 525),21,4,67,01/09/2022,9
3,jurong west street 52(blk 527),21,4,67,01/09/2022,9
2,jurong west street 52(blk 528),21,4,67,01/09/2022,9
1,jurong west street 52(blk 529),21,4,67,01/09/2022,9
1,jurong west street 52(blk 532),21,4,67,01/09/2022,9
1,jurong west street 52(blk 533),21,4,67,01/09/2022,9
1,jurong west street 52(blk 534),21,4,67,01/09/2022,9
2,jurong west street 52(blk 535),21,4,67,01/09/2022,9
2,jurong west street 52(blk 536),21,4,67,01/09/2022,9
1,jurong east street 21(blk 287b),22,19,66,01/09/2022,9
2,jurong east street 21(blk 287c),22,19,66,01/09/2022,9
1,jurong east street 21(blk 288b),22,19,66,01/09/2022,9
1,jurong east street 21(blk 288c),22,19,66,01/09/2022,9
1,toh guan road(blk 267),22,19,66,01/09/2022,9
2,toh guan road(blk 269),22,19,66,01/09/2022,9
2,toh guan road(blk 270),22,19,66,01/09/2022,9
4,toh guan road(blk 271),22,19,66,01/09/2022,9
1,toh guan road(blk 274),22,19,66,01/09/2022,9
1,toh guan road(blk 277),22,19,66,01/09/2022,9
1,toh guan road(blk 278),22,19,66,01/09/2022,9
1,toh guan road(blk 280),22,19,66,01/09/2022,9
1,toh guan road(blk 281),22,19,66,01/09/2022,9
1,toh guan road(blk 282),22,19,66,01/09/2022,9
3,toh guan road(blk 283),22,19,66,01/09/2022,9
1,toh guan road(blk 284),22,19,66,01/09/2022,9
6,toh guan road(blk 285a),22,19,66,01/09/2022,9
4,toh guan road(blk 285b),22,19,66,01/09/2022,9
2,toh guan road(blk 285c),22,19,66,01/09/2022,9
12,toh guan road(blk 285d),22,19,66,01/09/2022,9
11,toh guan road(blk 286a),22,19,66,01/09/2022,9
1,toh guan road(blk 286b),22,19,66,01/09/2022,9
5,toh guan road(blk 286c),22,19,66,01/09/2022,9
1,toh guan road(blk 286d),22,19,66,01/09/2022,9
23,guan soon avenue,23,6,59,01/09/2022,9
10,harvey avenue,23,6,59,01/09/2022,9
1,harvey close,23,6,59,01/09/2022,9
1,harvey crescent,23,6,59,01/09/2022,9
11,jalan angin laut,23,6,59,01/09/2022,9
4,sea breeze avenue,23,6,59,01/09/2022,9
2,sea breeze grove,23,6,59,01/09/2022,9
7,upper changi road,23,6,59,01/09/2022,9
58,normanton park,24,7,58,01/09/2022,9
1,ang mo kio avenue 4(blk 607),25,2,53,01/09/2022,9
5,ang mo kio avenue 4(blk 609),25,2,53,01/09/2022,9
8,ang mo kio avenue 4(blk 610),25,2,53,01/09/2022,9
3,ang mo kio avenue 4(blk 612),25,2,53,01/09/2022,9
1,ang mo kio avenue 4(blk 613),25,2,53,01/09/2022,9
1,ang mo kio avenue 4(blk 616),25,2,53,01/09/2022,9
1,ang mo kio avenue 4(blk 617),25,2,53,01/09/2022,9
5,ang mo kio avenue 4(blk 618),25,2,53,01/09/2022,9
1,ang mo kio avenue 4(blk 619),25,2,53,01/09/2022,9
7,ang mo kio avenue 4(blk 624),25,2,53,01/09/2022,9
1,ang mo kio avenue 4(blk 627),25,2,53,01/09/2022,9
2,ang mo kio avenue 4(blk 629),25,2,53,01/09/2022,9
1,ang mo kio avenue 5(blk 611),25,2,53,01/09/2022,9
1,ang mo kio avenue 5(blk 643),25,2,53,01/09/2022,9
2,ang mo kio avenue 9(blk 620),25,2,53,01/09/2022,9
5,ang mo kio avenue 9(blk 621),25,2,53,01/09/2022,9
1,ang mo kio avenue 9(blk 622),25,2,53,01/09/2022,9
2,ang mo kio avenue 9(blk 623),25,2,53,01/09/2022,9
2,ang mo kio avenue 9(blk 625),25,2,53,01/09/2022,9
3,yio chu kang gardens,25,2,53,01/09/2022,9
7,commonweath close(blk 81),26,8,52,01/09/2022,9
1,commonweath close(blk 83),26,8,52,01/09/2022,9
5,commonweath close(blk 85),26,8,52,01/09/2022,9
5,commonweath close(blk 86),26,8,52,01/09/2022,9
5,commonweath close(blk 87),26,8,52,01/09/2022,9
12,commonweath close(blk 88),26,8,52,01/09/2022,9
4,commonweath drive(blk 90),26,8,52,01/09/2022,9
1,commonweath drive(blk 91),26,8,52,01/09/2022,9
1,commonweath drive(blk 92),26,8,52,01/09/2022,9
8,commonweath drive(blk 93),26,8,52,01/09/2022,9
3,commonweath drive(blk 94),26,8,52,01/09/2022,9
1,bright hill drive,27,8,50,01/09/2022,9
3,bright hill drive(blk 446),27,8,50,01/09/2022,9
1,bright hill drive(blk 448),27,8,50,01/09/2022,9
3,bright hill drive(thomson three),27,8,50,01/09/2022,9
7,bright hill drive(thomson view condominium),27,8,50,01/09/2022,9
1,jalan puntong(country esquire),27,8,50,01/09/2022,9
2,sin ming avenue(blk 441),27,8,50,01/09/2022,9
2,sin ming avenue(blk 442),27,8,50,01/09/2022,9
1,sin ming avenue(blk 443),27,8,50,01/09/2022,9
1,sin ming avenue(blk 444),27,8,50,01/09/2022,9
1,sin ming avenue(blk 445),27,8,50,01/09/2022,9
2,sin ming avenue(blk 449),27,8,50,01/09/2022,9
5,sin ming avenue(blk 450),27,8,50,01/09/2022,9
1,sin ming avenue(blk 451),27,8,50,01/09/2022,9
5,sin ming avenue(blk 452),27,8,50,01/09/2022,9
2,sin ming avenue(blk 453),27,8,50,01/09/2022,9
3,sin ming avenue(blk 454),27,8,50,01/09/2022,9
8,sin ming avenue(blk 455),27,8,50,01/09/2022,9
1,sin ming lane,27,8,50,01/09/2022,9
6,bishan street 11(bishan loft),28,4,48,01/09/2022,9
1,bishan street 11(blk 145),28,4,48,01/09/2022,9
2,bishan street 11(blk 150),28,4,48,01/09/2022,9
1,bishan street 11(blk 150a),28,4,48,01/09/2022,9
1,bishan street 11(blk 152b),28,4,48,01/09/2022,9
1,bishan street 12(blk 139),28,4,48,01/09/2022,9
1,bishan street 12(blk 141),28,4,48,01/09/2022,9
1,bishan street 12(blk 142),28,4,48,01/09/2022,9
1,bishan street 12(blk 144),28,4,48,01/09/2022,9
3,bishan street 13(blk 154),28,4,48,01/09/2022,9
1,bishan street 13(blk 155),28,4,48,01/09/2022,9
1,bishan street 13(blk 157),28,4,48,01/09/2022,9
2,bishan street 13(blk 159),28,4,48,01/09/2022,9
4,bishan street 13(blk 160),28,4,48,01/09/2022,9
1,bishan street 13(blk 161),28,4,48,01/09/2022,9
2,bishan street 13(blk 164),28,4,48,01/09/2022,9
3,bishan street 13(blk 172),28,4,48,01/09/2022,9
1,bishan street 13(blk 175),28,4,48,01/09/2022,9
1,bishan street 13(blk 179),28,4,48,01/09/2022,9
2,bishan street 13(blk 180),28,4,48,01/09/2022,9
2,bishan street 13(blk 181),28,4,48,01/09/2022,9
1,bishan street 13(blk 182),28,4,48,01/09/2022,9
2,bishan street 13(blk 183),28,4,48,01/09/2022,9
1,bishan street 13(blk 185),28,4,48,01/09/2022,9
2,bishan street 13(blk 186),28,4,48,01/09/2022,9
2,bishan street 13(blk 188),28,4,48,01/09/2022,9
1,bishan street 13(blk 193),28,4,48,01/09/2022,9
1,bishan street 15(sky habitat),28,4,48,01/09/2022,9
15,chapel road,29,9,46,01/09/2022,9
1,east coast road,29,9,46,01/09/2022,9
5,jago close,29,9,46,01/09/2022,9
5,kuo chuan avenue,29,9,46,01/09/2022,9
6,marine parade,29,9,46,01/09/2022,9
12,sea avenue,29,9,46,01/09/2022,9
1,stangee place,29,9,46,01/09/2022,9
1,still road,29,9,46,01/09/2022,9
4,lorong 7 toa payoh(blk 1),30,7,36,01/09/2022,9
10,lorong 7 toa payoh(blk 2),30,7,36,01/09/2022,9
16,lorong 7 toa payoh(blk 3),30,7,36,01/09/2022,9
1,lorong 7 toa payoh(blk 4),30,7,36,01/09/2022,9
1,lorong 7 toa payoh(blk 6),30,7,36,01/09/2022,9
1,lorong 8 toa payoh(blk 211),30,7,36,01/09/2022,9
1,lorong 8 toa payoh(blk 225),30,7,36,01/09/2022,9
2,lorong 8 toa payoh(blk 228),30,7,36,01/09/2022,9
7,dover close east(blk 12),31,6,35,01/09/2022,9
8,dover close east(blk 13),31,6,35,01/09/2022,9
20,dover close east(blk 14),31,6,35,01/09/2022,9
6,dover crescent(blk 5),32,2,35,01/09/2022,9
3,dover crescent(blk 28),32,2,35,01/09/2022,9
1,dover crescent(blk 28a),32,2,35,01/09/2022,9
2,dover crescent(blk 28b),32,2,35,01/09/2022,9
1,dover crescent(blk 28c),32,2,35,01/09/2022,9
2,dover crescent(blk 28d),32,2,35,01/09/2022,9
1,dover road(blk 1),32,2,35,01/09/2022,9
1,dover road(blk 2),32,2,35,01/09/2022,9
3,dover road(blk 3),32,2,35,01/09/2022,9
1,dover rise(blk 38),32,2,35,01/09/2022,9
3,dover rise(dover parkview),32,2,35,01/09/2022,9
11,dover rise(heritage view),32,2,35,01/09/2022,9
6,jelapang road(blk 501),33,2,33,01/09/2022,9
4,jelapang road(blk 502),33,2,33,01/09/2022,9
16,jelapang road(blk 503),33,2,33,01/09/2022,9
1,jelapang road(blk 504),33,2,33,01/09/2022,9
6,jelapang road(blk 505),33,2,33,01/09/2022,9
2,jurong west avenue 5(blk 720),34,11,33,01/09/2022,9
1,jurong west avenue 5(blk 721),34,11,33,01/09/2022,9
1,jurong west avenue 5(blk 722),34,11,33,01/09/2022,9
1,jurong west avenue 5(blk 723),34,11,33,01/09/2022,9
2,jurong west avenue 5(blk 725),34,11,33,01/09/2022,9
5,jurong west avenue 5(blk 726),34,11,33,01/09/2022,9
2,jurong west avenue 5(blk 727),34,11,33,01/09/2022,9
4,jurong west avenue 5(blk 728),34,11,33,01/09/2022,9
1,jurong west avenue 5(blk 729),34,11,33,01/09/2022,9
1,jurong west street 71(blk 713),34,11,33,01/09/2022,9
2,jurong west street 71(blk 714),34,11,33,01/09/2022,9
2,jurong west street 71(blk 715),34,11,33,01/09/2022,9
1,jurong west street 72(blk 731),34,11,33,01/09/2022,9
1,jurong west street 81(blk 810),34,11,33,01/09/2022,9
2,jurong west street 81(blk 811),34,11,33,01/09/2022,9
1,jurong west street 81(blk 814),34,11,33,01/09/2022,9
1,jurong west street 81(blk 815),34,11,33,01/09/2022,9
1,jurong west street 81(blk 816),34,11,33,01/09/2022,9
1,jurong west street 81(blk 831),34,11,33,01/09/2022,9
1,jurong west street 81(blk 854),34,11,33,01/09/2022,9
1,jalan gelenggang,35,9,30,01/09/2022,9
1,jalan kuras,35,9,30,01/09/2022,9
1,jalan telang,35,9,30,01/09/2022,9
1,sembawang hills drive,35,9,30,01/09/2022,9
2,serenade walk,35,9,30,01/09/2022,9
4,thomson green,35,9,30,01/09/2022,9
2,thomson heights,35,9,30,01/09/2022,9
1,thomson hill,35,9,30,01/09/2022,9
7,thomson hills drive,35,9,30,01/09/2022,9
1,thomson hills terrace,35,9,30,01/09/2022,9
9,thomson terrace,35,9,30,01/09/2022,9
18,casuarina road,36,9,29,01/09/2022,9
10,nemesu avenue,36,9,29,01/09/2022,9
1,old upper thomson road,36,9,29,01/09/2022,9
3,lorong 1 toa payoh(blk 138c),37,2,29,01/09/2022,9
2,lorong 1 toa payoh(blk 139a),37,2,29,01/09/2022,9
3,lorong 1 toa payoh(blk 144),37,2,29,01/09/2022,9
1,lorong 1 toa payoh(blk 148),37,2,29,01/09/2022,9
1,lorong 1 toa payoh(blk 149),37,2,29,01/09/2022,9
1,lorong 1 toa payoh(blk 153a),37,2,29,01/09/2022,9
3,lorong 1 toa payoh(blk 156),37,2,29,01/09/2022,9
1,lorong 1 toa payoh(blk 157),37,2,29,01/09/2022,9
3,lorong 1 toa payoh(oleander towers),37,2,29,01/09/2022,9
2,lorong 1a toa payoh(blk 138c),37,2,29,01/09/2022,9
4,lorong 1a toa payoh(blk 139a),37,2,29,01/09/2022,9
1,lorong 2 toa payoh(blk 141),37,2,29,01/09/2022,9
1,lorong 2 toa payoh(blk 142),37,2,29,01/09/2022,9
1,lorong 2 toa payoh(blk 143),37,2,29,01/09/2022,9
1,lorong 2 toa payoh(blk 144),37,2,29,01/09/2022,9
1,lorong 2 toa payoh(blk 154),37,2,29,01/09/2022,9
8,ghim moh link(blk 22),38,2,28,01/09/2022,9
1,ghim moh link(blk 23),38,2,28,01/09/2022,9
4,ghim moh link(blk 26),38,2,28,01/09/2022,9
3,ghim moh link(blk 27),38,2,28,01/09/2022,9
4,ghim moh link(blk 28),38,2,28,01/09/2022,9
1,ghim moh link(blk 29),38,2,28,01/09/2022,9
1,ghim moh link(blk 30),38,2,28,01/09/2022,9
3,ghim moh link(blk 32),38,2,28,01/09/2022,9
3,ghim moh link(blk 33),38,2,28,01/09/2022,9
1,jalan angin laut,39,10,27,01/09/2022,9
2,jalan soo bee,39,10,27,01/09/2022,9
2,sea breeze avenue,39,10,27,01/09/2022,9
9,sea breeze road,39,10,27,01/09/2022,9
4,sea breeze walk,39,10,27,01/09/2022,9
9,simei street 3(eastpoint green),39,10,27,01/09/2022,9
1,bukit panjang ring road(blk 423),40,6,26,01/09/2022,9
3,bukit panjang ring road(blk 427),40,6,26,01/09/2022,9
4,bukit panjang ring road(blk 428),40,6,26,01/09/2022,9
2,bukit panjang ring road(blk 429),40,6,26,01/09/2022,9
3,bukit panjang ring road(blk 430),40,6,26,01/09/2022,9
3,bukit panjang ring road(blk 431),40,6,26,01/09/2022,9
1,bukit panjang ring road(blk 433),40,6,26,01/09/2022,9
1,bukit panjang ring road(blk 435),40,6,26,01/09/2022,9
1,fajar road(blk 423),40,6,26,01/09/2022,9
3,fajar road(blk 426),40,6,26,01/09/2022,9
1,fajar road(blk 451),40,6,26,01/09/2022,9
1,fajar road(blk 453),40,6,26,01/09/2022,9
2,fajar road(blk 454),40,6,26,01/09/2022,9
1,serangoon avenue 4(blk 214),41,5,26,01/09/2022,9
6,serangoon avenue 4(blk 219),41,5,26,01/09/2022,9
1,serangoon avenue 4(blk 220),41,5,26,01/09/2022,9
2,serangoon avenue 4(blk 223),41,5,26,01/09/2022,9
1,serangoon avenue 4(blk 223a),41,5,26,01/09/2022,9
5,serangoon avenue 4(blk 224),41,5,26,01/09/2022,9
1,serangoon avenue 4(blk 225),41,5,26,01/09/2022,9
4,serangoon avenue 4(blk 226),41,5,26,01/09/2022,9
2,serangoon avenue 4(blk 228),41,5,26,01/09/2022,9
1,serangoon avenue 4(blk 230),41,5,26,01/09/2022,9
1,summer place,41,5,26,01/09/2022,9
1,tai yuan heights,41,5,26,01/09/2022,9
3,fajar road(blk 402),42,2,24,01/09/2022,9
11,fajar road(blk 403),42,2,24,01/09/2022,9
3,fajar road(blk 404),42,2,24,01/09/2022,9
3,fajar road(blk 406),42,2,24,01/09/2022,9
3,fajar road(blk 407),42,2,24,01/09/2022,9
1,fajar road(blk 408),42,2,24,01/09/2022,9
3,jalan rajah(blk 101),43,2,23,01/09/2022,9
7,jalan rajah(blk 102),43,2,23,01/09/2022,9
3,jalan rajah(blk 103),43,2,23,01/09/2022,9
8,jalan rajah(blk 104),43,2,23,01/09/2022,9
1,jalan rajah(blk 106),43,2,23,01/09/2022,9
1,jalan rajah(blk 107),43,2,23,01/09/2022,9
2,ava road(ava towers),44,2,22,01/09/2022,9
4,balestier road,44,2,22,01/09/2022,9
1,bassein road,44,2,22,01/09/2022,9
2,bassein road(pastoral view),44,2,22,01/09/2022,9
2,bhamo road(nova 88),44,2,22,01/09/2022,9
4,mandalay road(mandale heights),44,2,22,01/09/2022,9
1,mandalay road(the ansley),44,2,22,01/09/2022,9
3,martaban road(ecoville),44,2,22,01/09/2022,9
1,minbu road,44,2,22,01/09/2022,9
2,minbu road(montebleu),44,2,22,01/09/2022,9
1,jalan kesoma,45,4,22,01/09/2022,9
2,jalan rindu,45,4,22,01/09/2022,9
1,lorong gambir,45,4,22,01/09/2022,9
10,lorong ong lye,45,4,22,01/09/2022,9
1,lorong penchalak,45,4,22,01/09/2022,9
6,pillai road,45,4,22,01/09/2022,9
1,upper paya lebar road,45,4,22,01/09/2022,9
1,jurong west street 91(blk 938),46,2,21,01/09/2022,9
1,jurong west street 91(blk 941),46,2,21,01/09/2022,9
2,jurong west street 91(blk 943),46,2,21,01/09/2022,9
2,jurong west street 91(blk 944),46,2,21,01/09/2022,9
4,jurong west street 91(blk 945),46,2,21,01/09/2022,9
1,jurong west street 91(blk 946),46,2,21,01/09/2022,9
2,jurong west street 91(blk 947),46,2,21,01/09/2022,9
3,jurong west street 91(blk 948),46,2,21,01/09/2022,9
2,jurong west street 91(blk 949),46,2,21,01/09/2022,9
1,jurong west street 91(blk 950),46,2,21,01/09/2022,9
1,jurong west street 91(blk 952),46,2,21,01/09/2022,9
1,jurong west street 91(blk 953),46,2,21,01/09/2022,9
2,bedok north avenue 2(blk 409),47,10,20,01/09/2022,9
1,bedok north avenue 3(blk 137),47,10,20,01/09/2022,9
11,bedok north avenue 3(blk 402),47,10,20,01/09/2022,9
1,bedok north avenue 3(blk 403),47,10,20,01/09/2022,9
1,bedok north avenue 3(blk 404),47,10,20,01/09/2022,9
1,bedok north road(blk 429a),47,10,20,01/09/2022,9
2,bedok north road(blk 430a),47,10,20,01/09/2022,9
1,bedok north street 2(blk 140),47,10,20,01/09/2022,9
1,lorong 1 toa payoh(blk 100),48,2,20,01/09/2022,9
1,lorong 1 toa payoh(blk 103),48,2,20,01/09/2022,9
1,lorong 1 toa payoh(blk 104),48,2,20,01/09/2022,9
1,lorong 1 toa payoh(blk 105),48,2,20,01/09/2022,9
1,lorong 1 toa payoh(blk 106),48,2,20,01/09/2022,9
1,lorong 1 toa payoh(blk 125),48,2,20,01/09/2022,9
1,lorong 2 toa payoh(blk 99a),48,2,20,01/09/2022,9
1,lorong 2 toa payoh(blk 99b),48,2,20,01/09/2022,9
1,lorong 2 toa payoh(blk 101a),48,2,20,01/09/2022,9
3,lorong 2 toa payoh(blk 116),48,2,20,01/09/2022,9
1,lorong 2 toa payoh(blk 120),48,2,20,01/09/2022,9
1,lorong 2 toa payoh(blk 121),48,2,20,01/09/2022,9
2,lorong 2 toa payoh(blk 122),48,2,20,01/09/2022,9
4,lorong 3 toa payoh(trevista),48,2,20,01/09/2022,9
1,bedok north avenue 1(blk 521),49,10,18,01/09/2022,9
1,bedok north avenue 1(blk 522),49,10,18,01/09/2022,9
3,bedok north avenue 1(blk 552),49,10,18,01/09/2022,9
3,bedok north avenue 1(blk 553),49,10,18,01/09/2022,9
1,bedok north street 3(blk 526),49,10,18,01/09/2022,9
1,bedok north street 3(blk 528),49,10,18,01/09/2022,9
2,bedok north street 3(blk 529),49,10,18,01/09/2022,9
6,bedok north street 3(blk 554),49,10,18,01/09/2022,9
5,iqbal avenue,50,2,18,01/09/2022,9
4,munshi abdullah avenue,50,2,18,01/09/2022,9
2,tagore avenue,50,2,18,01/09/2022,9
6,tung po avenue,50,2,18,01/09/2022,9
1,yio chu kang drive,50,2,18,01/09/2022,9
1,lorong 4 toa payoh(blk 69),51,6,18,01/09/2022,9
7,lorong 5 toa payoh(blk 31),51,6,18,01/09/2022,9
2,lorong 5 toa payoh(blk 34),51,6,18,01/09/2022,9
2,lorong 5 toa payoh(blk 35),51,6,18,01/09/2022,9
2,lorong 5 toa payoh(blk 38),51,6,18,01/09/2022,9
2,toa payoh east(blk 261),51,6,18,01/09/2022,9
1,toa payoh east(blk 262),51,6,18,01/09/2022,9
1,toa payoh east(blk 264),51,6,18,01/09/2022,9
8,yunnan crescent,52,8,18,01/09/2022,9
4,yunnan drive 2,52,8,18,01/09/2022,9
5,yunnan road,52,8,18,01/09/2022,9
1,yunnan walk 1,52,8,18,01/09/2022,9
6,binchang rise,53,5,17,01/09/2022,9
8,clover close,53,5,17,01/09/2022,9
1,clover crescent,53,5,17,01/09/2022,9
2,clover rise,53,5,17,01/09/2022,9
3,lew lian vale(jade residences),54,3,17,01/09/2022,9
1,lorong lew lian(blk 7),54,3,17,01/09/2022,9
1,lorong lew lian(cherryhill),54,3,17,01/09/2022,9
1,lorong lew lian(cherry gardens),54,3,17,01/09/2022,9
2,lorong ong lye,54,3,17,01/09/2022,9
2,serangoon avenue 1(blk 425),54,3,17,01/09/2022,9
2,serangoon avenue 1(blk 426),54,3,17,01/09/2022,9
5,serangoon terrace,54,3,17,01/09/2022,9
2,serangoon north avenue 1(blk 101),55,8,16,01/09/2022,9
2,serangoon north avenue 1(blk 103),55,8,16,01/09/2022,9
1,serangoon north avenue 1(blk 108),55,8,16,01/09/2022,9
2,serangoon north avenue 1(blk 109),55,8,16,01/09/2022,9
2,serangoon north avenue 1(blk 114),55,8,16,01/09/2022,9
1,serangoon north avenue 1(blk 144),55,8,16,01/09/2022,9
1,serangoon north avenue 1(blk 147),55,8,16,01/09/2022,9
3,serangoon north avenue 1(blk 148),55,8,16,01/09/2022,9
2,serangoon north avenue 1(blk 157),55,8,16,01/09/2022,9
1,ang mo kio avenue 3(blk 130),56,5,15,01/09/2022,9
1,ang mo kio avenue 3(blk 131),56,5,15,01/09/2022,9
4,mayflower lane,56,5,15,01/09/2022,9
9,mayflower road,56,5,15,01/09/2022,9
9,hillview avenue(hillington green),57,2,15,01/09/2022,9
2,hillview avenue(hillview heights),57,2,15,01/09/2022,9
4,hume avenue(summerhill),57,2,15,01/09/2022,9
1,marine crescent(blk 27),58,12,15,01/09/2022,9
1,marine crescent(blk 28),58,12,15,01/09/2022,9
2,marine crescent(blk 30),58,12,15,01/09/2022,9
1,marine crescent(blk 31),58,12,15,01/09/2022,9
6,marine crescent(blk 34),58,12,15,01/09/2022,9
1,marine crescent(blk 44),58,12,15,01/09/2022,9
1,marine crescent(blk 45),58,12,15,01/09/2022,9
2,marine terrace(blk 18),58,12,15,01/09/2022,9
1,holland avenue(willyn ville),59,3,14,01/09/2022,9
1,holland road,59,3,14,01/09/2022,9
3,jalan kelabu asap,59,3,14,01/09/2022,9
1,jalan merah saga,59,3,14,01/09/2022,9
7,jalan merah saga(the merasaga),59,3,14,01/09/2022,9
1,jalan rumia,59,3,14,01/09/2022,9
1,yung loh road(blk 156),60,13,14,01/09/2022,9
4,yung loh road(blk 158),60,13,14,01/09/2022,9
1,yung ping road(blk 161),60,13,14,01/09/2022,9
7,yung ping road(blk 162),60,13,14,01/09/2022,9
1,yung ping road(blk 163),60,13,14,01/09/2022,9
1,balam road(blk 20),61,4,13,01/09/2022,9
6,balam road(blk 22),61,4,13,01/09/2022,9
2,balam road(blk 24),61,4,13,01/09/2022,9
1,balam road(blk 28),61,4,13,01/09/2022,9
1,circuit road(blk 17a),61,4,13,01/09/2022,9
1,circuit road(blk 18d),61,4,13,01/09/2022,9
1,paya lebar road(le crescendo),61,4,13,01/09/2022,9
1,bukit panjang ring road(blk 533),62,1,13,01/09/2022,9
3,bukit panjang ring road(blk 535),62,1,13,01/09/2022,9
2,bukit panjang ring road(blk 537),62,1,13,01/09/2022,9
2,bukit panjang ring road(blk 541),62,1,13,01/09/2022,9
1,bukit panjang ring road(blk 545),62,1,13,01/09/2022,9
2,jelapang road(blk 538),62,1,13,01/09/2022,9
1,jelapang road(blk 540),62,1,13,01/09/2022,9
1,jelapang road(blk 543),62,1,13,01/09/2022,9
1,clementi avenue 4(blk 301),63,5,13,01/09/2022,9
1,clementi avenue 4(blk 303),63,5,13,01/09/2022,9
1,clementi avenue 4(blk 304),63,5,13,01/09/2022,9
1,clementi avenue 4(blk 308),63,5,13,01/09/2022,9
4,clementi avenue 4(blk 310),63,5,13,01/09/2022,9
2,clementi avenue 4(blk 311b),63,5,13,01/09/2022,9
3,clementi avenue 4(blk 311c),63,5,13,01/09/2022,9
